,Artist_Name,Album_Title,Genre,Composer,Track_Name,Track_Unit_Price,Invoice_ID,Invoice_Tracks_Price,Invoice_Track_ID,Sales_Rep_ID,Sales_Rep_First_Name,Sales_Rep_Last_Name,Sales_Rep_Title,Sales_Rep_City,Sales_Rep_State,Sales_Rep_Country,Customer_ID,Customer_First_Name,Customer_Last_Name,Customer_City,Customer_State,Customer_Country,artist2
0,AC/DC,For Those About To Rock We Salute You,Rock,"Angus Young, Malcolm Young, Brian Johnson",For Those About To Rock (We Salute You),0.99,108.0,0.99,1.0,5.0,Steve,Johnson,Sales Support Agent,Calgary,AB,Canada,47.0,Lucas,Mancini,Rome,RM,Italy,AC/DC
1,AC/DC,For Those About To Rock We Salute You,Rock,"Angus Young, Malcolm Young, Brian Johnson",Put The Finger On You,0.99,2.0,0.99,6.0,4.0,Margaret,Park,Sales Support Agent,Calgary,AB,Canada,4.0,Bjørn,Hansen,Oslo,,Norway,AC/DC
2,AC/DC,For Those About To Rock We Salute You,Rock,"Angus Young, Malcolm Young, Brian Johnson",Let's Get It Up,0.99,,,,,,,,,,,,,,,,,AC/DC
3,AC/DC,For Those About To Rock We Salute You,Rock,"Angus Young, Malcolm Young, Brian Johnson",Inject The Venom,0.99,2.0,0.99,8.0,4.0,Margaret,Park,Sales Support Agent,Calgary,AB,Canada,4.0,Bjørn,Hansen,Oslo,,Norway,AC/DC
4,AC/DC,For Those About To Rock We Salute You,Rock,"Angus Young, Malcolm Young, Brian Johnson",Inject The Venom,0.99,214.0,0.99,8.0,3.0,Jane,Peacock,Sales Support Agent,Calgary,AB,Canada,33.0,Ellie,Sullivan,Yellowknife,NT,Canada,AC/DC
5,AC/DC,For Those About To Rock We Salute You,Rock,"Angus Young, Malcolm Young, Brian Johnson",Snowballed,0.99,108.0,0.99,9.0,5.0,Steve,Johnson,Sales Support Agent,Calgary,AB,Canada,47.0,Lucas,Mancini,Rome,RM,Italy,AC/DC
6,AC/DC,For Those About To Rock We Salute You,Rock,"Angus Young, Malcolm Young, Brian Johnson",Snowballed,0.99,319.0,0.99,9.0,4.0,Margaret,Park,Sales Support Agent,Calgary,AB,Canada,13.0,Fernanda,Ramos,Brasília,DF,Brazil,AC/DC
7,AC/DC,For Those About To Rock We Salute You,Rock,"Angus Young, Malcolm Young, Brian Johnson",Evil Walks,0.99,2.0,0.99,10.0,4.0,Margaret,Park,Sales Support Agent,Calgary,AB,Canada,4.0,Bjørn,Hansen,Oslo,,Norway,AC/DC
8,AC/DC,For Those About To Rock We Salute You,Rock,"Angus Young, Malcolm Young, Brian Johnson",C.O.D.,0.99,,,,,,,,,,,,,,,,,AC/DC
9,AC/DC,For Those About To Rock We Salute You,Rock,"Angus Young, Malcolm Young, Brian Johnson",Breaking The Rules,0.99,2.0,0.99,12.0,4.0,Margaret,Park,Sales Support Agent,Calgary,AB,Canada,4.0,Bjørn,Hansen,Oslo,,Norway,AC/DC
